sample_id,Site,taxa_id,rel_abundance,COLLECTION_DATE,COMPLETE_NAME,COUNTRY,CITY,LATITUDE,LONGITUDE,PLANT,relative_week
1014216_1,Bologna,Acidovorax,0.276368128,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Acinetobacter,0.031886196,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Aeromonas,0.007572599,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Aliarcobacter,0.005577417,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Aquabacterium_A,0.000850944,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Bacteroides,0.001645186,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Brachymonas,0.025106866,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Brevefilum,3.36921e-06,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Brevundimonas,0.004187304,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Cloacibacterium,0.003837307,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
1014216_1,Bologna,Comamonas,0.062121801,2020-03-12 00:00:00,DTU_2022_1014216_1_MG_IT_BO_200312_GSL_34,Italy,Bologna,44.4949,11.3426,Gruppo HERA,58
